CPU |  Usage |  User  |  Kernel |  Idle |  vmName  | datetimeUTC | type
   0|  10.51%|   5.45%|    5.05%|  89.49% | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
   1|   2.85%|   0.87%|    1.98%|  97.15% | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
   2|  10.21%|   3.93%|    6.28%|  89.79% | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
   3|   7.18%|   0.75%|    6.43%|  92.82% | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
   4|   9.02%|   3.26%|    5.76%|  90.98% | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
   5|   3.81%|   1.20%|    2.61%|  96.19% | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
   6|   5.67%|   1.61%|    4.06%|  94.33% | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
   7|  36.28%|  25.39%|   10.90%|  63.72% | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
   8|  57.73%|  29.91%|   27.82%|  42.27% | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
   9|  24.85%|  10.06%|   14.79%|  75.15% | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
  10|  66.68%|  27.97%|   38.71%|  33.32% | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
  11|  21.66%|   7.23%|   14.43%|  78.34% | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
avg.|  21.37%|   9.80%|   11.57%|  78.63% | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
   0|   2.13%|   0.83%|    1.30%|  97.88% | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
   1|   1.10%|   0.16%|    0.94%|  98.90% | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
   2|   1.78%|   0.35%|    1.43%|  98.22% | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
   3|   1.09%|   0.11%|    0.98%|  98.91% | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
   4|   1.82%|   0.51%|    1.31%|  98.18% | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
   5|   1.83%|   0.65%|    1.18%|  98.17% | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
   6|   2.94%|   0.41%|    2.53%|  97.06% | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
   7|   9.31%|   2.80%|    6.51%|  90.69% | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
   8|  14.48%|  13.68%|    0.80%|  85.52% | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
   9|   2.62%|   2.35%|    0.27%|  97.38% | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
  10|   9.13%|   8.45%|    0.67%|  90.87% | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
  11|   3.01%|   2.65%|    0.36%|  96.99% | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
avg.|   4.27%|   2.74%|    1.52%|  95.73% | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
   0|   4.06%|   1.33%|    2.73%|  95.94% | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
   1|   1.39%|   0.18%|    1.21%|  98.61% | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
   2|   3.39%|   0.78%|    2.61%|  96.61% | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
   3|   1.74%|   0.21%|    1.53%|  98.26% | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
   4|   3.97%|   0.78%|    3.20%|  96.03% | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
   5|  18.00%|   7.27%|   10.73%|  82.00% | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
   6|   4.28%|   1.21%|    3.07%|  95.72% | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
   7|   6.19%|   0.26%|    5.93%|  93.81% | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
   8|  85.53%|  64.93%|   20.60%|  14.47% | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
   9|  15.08%|   3.24%|   11.83%|  84.92% | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
  10|  83.40%|  27.99%|   55.41%|  16.60% | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
  11|  16.27%|   2.38%|   13.89%|  83.73% | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
avg.|  20.27%|   9.21%|   11.06%|  79.73% | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
   0|   1.34%|   0.21%|    1.13%|  98.66% | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
   1|   1.57%|   0.28%|    1.30%|  98.43% | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
   2|   1.27%|   0.19%|    1.08%|  98.73% | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
   3|   1.14%|   0.14%|    0.99%|  98.86% | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
