thread |       bytes     |     I/Os     |    MiB/s   |  I/O per s |  AvgLat  | LatStdDev |  file | vmName | date | timeUTC | type
     0 |      7006978048 |       106918 |      22.27 |     356.39 |    4.674 |    12.570 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
     1 |      7201292288 |       109883 |      22.89 |     366.27 |    4.552 |    12.705 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
     2 |      7049117696 |       107561 |      22.41 |     358.53 |    4.622 |    12.627 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
     3 |      7116292096 |       108586 |      22.62 |     361.95 |    4.584 |    12.764 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
     4 |      7047544832 |       107537 |      22.40 |     358.45 |    4.627 |    13.084 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
     5 |      7197622272 |       109827 |      22.88 |     366.08 |    4.527 |    12.580 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
     6 |      7238320128 |       110448 |      23.01 |     368.15 |    4.497 |    12.971 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
     7 |      5949947904 |        90789 |      18.91 |     302.62 |    5.407 |    14.105 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
total |        55807115264 |       851549 |     177.40 |    2838.45 |    4.671 |    12.912 | | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
     0 |      7284457472 |       111152 |      23.16 |     370.51 |    4.482 |    12.371 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
     1 |      7266238464 |       110874 |      23.10 |     369.58 |    4.486 |    12.530 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
     2 |      7240089600 |       110475 |      23.02 |     368.25 |    4.479 |    12.554 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
     3 |      7285309440 |       111165 |      23.16 |     370.55 |    4.471 |    12.311 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
     4 |      7248412672 |       110602 |      23.04 |     368.67 |    4.486 |    12.392 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
     5 |      7264665600 |       110850 |      23.09 |     369.50 |    4.469 |    12.378 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
     6 |      7213154304 |       110064 |      22.93 |     366.88 |    4.502 |    12.446 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
     7 |      6896418816 |       105231 |      21.92 |     350.77 |    4.669 |    12.871 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
total |        57698746368 |       880413 |     183.42 |    2934.71 |    4.504 |    12.480 | | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
     0 |      7315390464 |       111624 |      23.26 |     372.08 |    4.422 |    12.082 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
     1 |      7291142144 |       111254 |      23.18 |     370.85 |    4.445 |    12.068 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
     2 |      7251034112 |       110642 |      23.05 |     368.81 |    4.444 |    12.613 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
     3 |      7278100480 |       111055 |      23.14 |     370.18 |    4.469 |    12.408 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
     4 |      7211188224 |       110034 |      22.92 |     366.78 |    4.480 |    12.392 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
     5 |      7272595456 |       110971 |      23.12 |     369.90 |    4.441 |    12.131 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
     6 |      7341015040 |       112015 |      23.34 |     373.38 |    4.412 |    12.273 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
     7 |      7044726784 |       107494 |      22.39 |     358.31 |    4.561 |    12.325 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
total |        58005192704 |       885089 |     184.39 |    2950.30 |    4.459 |    12.287 | | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
     0 |      5563875328 |        84898 |      17.69 |     282.99 |    4.199 |    11.594 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w903 | 2023/08/07 | 08:55:11 | premium ssd
     1 |      5424939008 |        82778 |      17.25 |     275.93 |    4.215 |    11.570 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w903 | 2023/08/07 | 08:55:11 | premium ssd
     2 |      5519769600 |        84225 |      17.55 |     280.75 |    4.201 |    11.642 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w903 | 2023/08/07 | 08:55:11 | premium ssd
     3 |      5527764992 |        84347 |      17.57 |     281.16 |    4.199 |    11.606 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w903 | 2023/08/07 | 08:55:11 | premium ssd
     4 |      5593890816 |        85356 |      17.78 |     284.52 |    4.170 |    11.575 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w903 | 2023/08/07 | 08:55:11 | premium ssd
     5 |      5234294784 |        79869 |      16.64 |     266.23 |    4.377 |    11.813 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w903 | 2023/08/07 | 08:55:11 | premium ssd
     6 |      5564923904 |        84914 |      17.69 |     283.05 |    4.132 |    11.506 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w903 | 2023/08/07 | 08:55:11 | premium ssd
     7 |      5702483968 |        87013 |      18.13 |     290.04 |    4.067 |    11.452 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w903 | 2023/08/07 | 08:55:11 | premium ssd
total |        44131942400 |       673400 |     140.29 |    2244.67 |    4.193 |    11.593 | | vdsdc307839w903 | 2023/08/07 | 08:55:11 | premium ssd
