 %-ile |  Read (ms) | Write (ms) | Total (ms)| vmName | date | timeUTC | type
    min |      0.039 |      0.074 |      0.039 | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
   25th |      0.371 |      0.177 |      0.248 | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
   50th |      0.475 |      0.226 |      0.373 | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
   75th |      0.678 |      0.301 |      0.550 | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
   90th |      5.261 |      0.421 |      2.862 | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
   95th |     41.965 |      0.662 |     39.807 | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
   99th |     48.653 |     40.536 |     47.293 | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
3-nines |     62.190 |     41.916 |     56.514 | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
4-nines |    127.550 |     61.214 |    103.631 | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
5-nines |    658.023 |     77.188 |    455.799 | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
6-nines |   1065.481 |     82.919 |    779.586 | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
7-nines |   1065.481 |     82.919 |   1065.481 | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
8-nines |   1065.481 |     82.919 |   1065.481 | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
9-nines |   1065.481 |     82.919 |   1065.481 | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
    max |   1065.481 |     82.919 |   1065.481 | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
    min |      0.034 |      0.074 |      0.034 | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
   25th |      0.363 |      0.173 |      0.238 | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
   50th |      0.464 |      0.220 |      0.363 | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
   75th |      0.657 |      0.287 |      0.532 | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
   90th |      4.606 |      0.390 |      1.803 | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
   95th |     41.951 |      0.573 |     40.120 | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
   99th |     47.887 |     40.942 |     46.529 | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
3-nines |     56.148 |     41.985 |     52.360 | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
4-nines |    132.845 |     42.366 |    110.248 | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
5-nines |    313.297 |     51.517 |    218.066 | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
6-nines |    712.580 |     69.189 |    700.919 | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
7-nines |    712.580 |     69.189 |    712.580 | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
8-nines |    712.580 |     69.189 |    712.580 | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
9-nines |    712.580 |     69.189 |    712.580 | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
    max |    712.580 |     69.189 |    712.580 | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
    min |      0.040 |      0.071 |      0.040 | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
   25th |      0.358 |      0.169 |      0.224 | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
