thread |       bytes     |     I/Os     |    MiB/s   |  I/O per s |  AvgLat  | LatStdDev |  file | vmName | date | timeUTC | type
     0 |     11642667008 |       177653 |      37.01 |     592.17 |    3.377 |    10.720 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
     1 |     11974672384 |       182719 |      38.07 |     609.05 |    3.283 |    10.784 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
     2 |     11783307264 |       179799 |      37.46 |     599.32 |    3.336 |    10.742 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
     3 |     11851268096 |       180836 |      37.67 |     602.78 |    3.317 |    10.850 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
     4 |     11775049728 |       179673 |      37.43 |     598.90 |    3.339 |    11.070 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
     5 |     12001345536 |       183126 |      38.15 |     610.41 |    3.276 |    10.703 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
     6 |     12050694144 |       183879 |      38.31 |     612.92 |    3.262 |    10.986 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
     7 |      9947512832 |       151787 |      31.62 |     505.95 |    3.952 |    12.057 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
total|       93026516992 |      1419472 |     295.72 |    4731.49 |    3.381 |    10.976 | | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
     0 |     12108562432 |       184762 |      38.49 |     615.87 |    3.247 |    10.572 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
     1 |     12080316416 |       184331 |      38.40 |     614.44 |    3.254 |    10.692 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
     2 |     12103122944 |       184679 |      38.47 |     615.60 |    3.248 |    10.704 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
     3 |     12134121472 |       185152 |      38.57 |     617.17 |    3.240 |    10.530 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
     4 |     12109938688 |       184783 |      38.50 |     615.94 |    3.246 |    10.580 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
     5 |     12113215488 |       184833 |      38.51 |     616.11 |    3.246 |    10.587 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
     6 |     12010389504 |       183264 |      38.18 |     610.88 |    3.273 |    10.644 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
     7 |     11537743872 |       176052 |      36.68 |     586.84 |    3.410 |    10.999 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
total|       96197410816 |      1467856 |     305.80 |    4892.85 |    3.270 |    10.663 | | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
     0 |     12160335872 |       185552 |      38.66 |     618.51 |    3.233 |    10.389 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
     1 |     12122849280 |       184980 |      38.54 |     616.60 |    3.243 |    10.388 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
     2 |     12121079808 |       184953 |      38.53 |     616.51 |    3.244 |    10.765 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
     3 |     12121735168 |       184963 |      38.53 |     616.54 |    3.244 |    10.596 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
     4 |     12046893056 |       183821 |      38.30 |     612.74 |    3.264 |    10.606 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
     5 |     12125798400 |       185025 |      38.55 |     616.75 |    3.243 |    10.434 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
     6 |     12222070784 |       186494 |      38.85 |     621.65 |    3.217 |    10.516 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
     7 |     11784093696 |       179811 |      37.46 |     599.37 |    3.336 |    10.590 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
total|       96704856064 |      1475599 |     307.42 |    4918.66 |    3.253 |    10.536 | | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
     0 |      9233170432 |       140887 |      29.35 |     469.62 |    4.258 |    25.883 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
     1 |      9004908544 |       137404 |      28.63 |     458.01 |    4.366 |    27.466 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
     2 |      9226878976 |       140791 |      29.33 |     469.30 |    4.261 |    25.914 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
     3 |      9203875840 |       140440 |      29.26 |     468.13 |    4.272 |    26.465 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
     4 |      9349627904 |       142664 |      29.72 |     475.55 |    4.205 |    25.647 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
     5 |      8724938752 |       133132 |      27.74 |     443.77 |    4.506 |    27.089 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
     6 |      9261416448 |       141318 |      29.44 |     471.06 |    4.245 |    27.024 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
     7 |      9535094784 |       145494 |      30.31 |     484.98 |    4.123 |    25.031 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
total|       73539911680 |      1122130 |     233.78 |    3740.43 |    4.277 |    26.312 | | vdsdc307839w903 | 2023/08/07 | 08:55:11 | Premium SSD
