thread |       bytes     |     I/Os     |    MiB/s   |  I/O per s |  AvgLat  | LatStdDev |  file | vmName | date | timeUTC | type
     0 |      4635688960 |        70735 |      14.74 |     235.78 |    1.416 |     6.586 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
     1 |      4773380096 |        72836 |      15.17 |     242.78 |    1.370 |     6.490 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
     2 |      4734189568 |        72238 |      15.05 |     240.79 |    1.422 |     6.610 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
     3 |      4734976000 |        72250 |      15.05 |     240.83 |    1.413 |     6.614 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
     4 |      4727504896 |        72136 |      15.03 |     240.45 |    1.418 |     6.623 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
     5 |      4803723264 |        73299 |      15.27 |     244.33 |    1.401 |     6.575 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
     6 |      4812374016 |        73431 |      15.30 |     244.77 |    1.404 |     6.590 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
     7 |      3997564928 |        60998 |      12.71 |     203.32 |    1.787 |     7.599 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
total|       37219401728 |       567923 |     118.32 |    1893.04 |    1.447 |     6.702 | | vdsdc307839w925 | 2023/08/07 | 09:00:28 | ephemeral
     0 |      4824104960 |        73610 |      15.34 |     245.37 |    1.382 |     6.608 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
     1 |      4814077952 |        73457 |      15.30 |     244.86 |    1.396 |     6.645 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
     2 |      4863033344 |        74204 |      15.46 |     247.35 |    1.416 |     6.700 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
     3 |      4848812032 |        73987 |      15.41 |     246.62 |    1.391 |     6.636 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
     4 |      4861526016 |        74181 |      15.45 |     247.27 |    1.398 |     6.646 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
     5 |      4848549888 |        73983 |      15.41 |     246.61 |    1.413 |     6.696 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
     6 |      4797235200 |        73200 |      15.25 |     244.00 |    1.425 |     6.713 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
     7 |      4641325056 |        70821 |      14.75 |     236.07 |    1.540 |     6.982 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
total|       38498664448 |       587443 |     122.38 |    1958.14 |    1.420 |     6.703 | | vdsdc307839w925 | 2023/08/07 | 09:12:31 | ephemeral
     0 |      4844945408 |        73928 |      15.40 |     246.43 |    1.438 |     6.720 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
     1 |      4831707136 |        73726 |      15.36 |     245.75 |    1.430 |     6.746 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
     2 |      4870045696 |        74311 |      15.48 |     247.70 |    1.457 |     6.799 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
     3 |      4843634688 |        73908 |      15.40 |     246.36 |    1.402 |     6.635 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
     4 |      4835704832 |        73787 |      15.37 |     245.96 |    1.450 |     6.762 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
     5 |      4853202944 |        74054 |      15.43 |     246.85 |    1.446 |     6.789 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
     6 |      4881055744 |        74479 |      15.52 |     248.26 |    1.419 |     6.704 | C:\CATIA_V6_21X_FD14\perfdisk.io (10GiB) | vdsdc307839w925 | 2023/08/07 | 11:20:45 | ephemeral
